rank,category,prompt,mean_score,std_score,min_score,max_score,n_samples,audio_paths
1,INSTRUMENTS,banjo folk melody,0.425010,0.071083,0.353926,0.496093,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__banjo_folk_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__banjo_folk_melody__s1.wav
2,COMPOUND_PHRASES,bright and cheerful ukulele melody,0.424646,0.005933,0.418713,0.430579,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__bright_and_cheerful_ukulele_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__bright_and_cheerful_ukulele_melody__s1.wav
3,TEXTURES,staccato rhythmic music,0.424510,0.015549,0.408961,0.440059,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__staccato_rhythmic_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__staccato_rhythmic_music__s1.wav
4,COMPOUND_PHRASES,dark trip hop beat with heavy bass,0.424408,0.043100,0.381307,0.467508,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__dark_trip_hop_beat_with_heavy_bass__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__dark_trip_hop_beat_with_heavy_bass__s1.wav
5,GENRES,ambient soundscape,0.420103,0.013958,0.406145,0.434061,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__ambient_soundscape__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__ambient_soundscape__s1.wav
6,COMPOUND_PHRASES,gentle lullaby with music box melody,0.419894,0.012738,0.407156,0.432631,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__gentle_lullaby_with_music_box_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__gentle_lullaby_with_music_box_melody__s1.wav
7,ENVIRONMENTS,outer space ambient sounds,0.408787,0.005640,0.403147,0.414427,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__outer_space_ambient_sounds__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__outer_space_ambient_sounds__s1.wav
8,COMPOUND_PHRASES,aggressive electronic beat with heavy bass,0.405237,0.022495,0.382742,0.427732,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__aggressive_electronic_beat_with_heavy_ba__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__aggressive_electronic_beat_with_heavy_ba__s1.wav
9,GENRES,new age ambient music,0.400429,0.010551,0.389878,0.410980,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__new_age_ambient_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__new_age_ambient_music__s1.wav
10,EMOTION_MOOD,triumphant and majestic music,0.397673,0.026428,0.371245,0.424101,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__triumphant_and_majestic_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__triumphant_and_majestic_music__s1.wav
11,COMPOUND_PHRASES,emotional violin solo with orchestra,0.395296,0.044484,0.350812,0.439780,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__emotional_violin_solo_with_orchestra__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__emotional_violin_solo_with_orchestra__s1.wav
12,GENRES,reggae rhythm,0.393068,0.063620,0.329448,0.456688,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__reggae_rhythm__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__reggae_rhythm__s1.wav
13,GENRES,lofi hip hop,0.389805,0.018585,0.371220,0.408391,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__lofi_hip_hop__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__lofi_hip_hop__s1.wav
14,INSTRUMENTS,solo piano melody,0.388476,0.013273,0.375204,0.401749,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__solo_piano_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__solo_piano_melody__s1.wav
